Weighted.Score,Food.Insecure.Percentage,NTA,NTA.Name,Sg Abv Ca,Unemployment.Rate,Food.Insecure.Percentage Rank,Geometry,Rank,sg abv ca Rank,Unemployment.Rate Rank,Unemployment.Rate.Perc,
8.01669,25.94%,BK1302,Coney Island-Sea Gate,"1,136,751.70",1255.40%,23,MultiPolygon,7,15,19,12.55%,
6.56392,22.27%,BK1303,Brighton Beach,"616,526.50",509.72%,36,MultiPolygon,58,56,163,5.10%,
5.92648,15.16%,BK1401,Flatbush,"58,511.60",531.62%,119,MultiPolygon,117,114,157,5.32%,
4.31924,16.52%,BK1402,Flatbush (West)-Ditmas Park-Parkville,"-1,053,831.50",623.87%,96,MultiPolygon,181,174,127,6.24%,
6.4598,17.83%,BK1403,Midwood,"668,199.40",554.08%,79,MultiPolygon,63,53,145,5.54%,
7.27398,18.32%,BK1501,Gravesend (East)-Homecrest,"1,088,156.80",806.11%,73,MultiPolygon,24,18,75,8.06%,
6.29221,16.34%,BK1502,Madison,"570,650.00",538.03%,98,MultiPolygon,79,58,152,5.38%,
7.47224,15.53%,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,"1,275,373.90",538.41%,115,MultiPolygon,19,8,151,5.38%,
2.64299,20.09%,BK1601,Ocean Hill,"-2,697,008.40",831.51%,60,MultiPolygon,189,191,71,8.32%,
6.25906,27.97%,BK1602,Brownsville,"-362,087.10",1395.84%,11,MultiPolygon,81,148,10,13.96%,
5.29301,15.51%,BK1701,East Flatbush-Erasmus,"-629,945.00",818.86%,116,MultiPolygon,156,161,74,8.19%,
5.52621,13.38%,BK1702,East Flatbush-Farragut,"-550,831.10",966.12%,147,MultiPolygon,148,156,42,9.66%,
4.51253,14.25%,BK1703,East Flatbush-Rugby,"-1,266,140.90",863.97%,129,MultiPolygon,177,178,62,8.64%,
4.73391,18.82%,BK1704,East Flatbush-Remsen Village,"-1,362,070.40",1183.02%,71,MultiPolygon,174,180,24,11.83%,
2.34484,12.64%,BK1801,Flatlands,"-2,760,245.70",792.73%,161,MultiPolygon,192,192,80,7.93%,
4.83132,9.83%,BK1802,Marine Park-Mill Basin-Bergen Beach,"-428,318.40",386.15%,188,MultiPolygon,170,150,190,3.86%,
1.78849,12.20%,BK1803,Canarsie,"-3,964,753.00",755.21%,170,MultiPolygon,196,197,90,7.55%,
6.32952,32.65%,BX0101,Mott Haven-Port Morris,"-352,804.40",1442.92%,3,MultiPolygon,74,146,7,14.43%,
4.47628,30.77%,BX0102,Melrose,"-1,829,261.40",1521.43%,4,MultiPolygon,178,183,4,15.21%,
5.6684,27.03%,BX0201,Hunts Point,"-605,316.50",1183.40%,17,MultiPolygon,136,159,23,11.83%,
4.94789,29.78%,BX0202,Longwood,"-1,432,771.60",1472.33%,7,MultiPolygon,167,181,5,14.72%,
3.43217,29.98%,BX0301,Morrisania,"-2,661,061.00",1540.20%,6,MultiPolygon,185,189,3,15.40%,
6.22783,33.36%,BX0302,Claremont Village-Claremont (East),"-365,907.50",1423.32%,2,MultiPolygon,84,149,8,14.23%,
5.62879,27.24%,BX0303,Crotona Park East,"-746,029.40",1308.90%,16,MultiPolygon,141,166,16,13.09%,
5.1331,26.29%,BX0401,Concourse-Concourse Village,"-1,017,592.70",1053.82%,21,MultiPolygon,161,173,31,10.54%,
6.60962,25.85%,BX0402,Highbridge,"413,230.80",845.52%,24,MultiPolygon,56,77,67,8.46%,
7.95131,27.78%,BX0403,Mount Eden-Claremont (West),"955,939.10",1371.32%,14,MultiPolygon,9,23,12,13.71%,
8.02484,28.18%,BX0501,University Heights (South)-Morris Heights,"1,175,200.00",1167.44%,10,MultiPolygon,6,12,25,11.67%,
7.12219,27.90%,BX0502,Mount Hope,"234,728.20",1444.53%,13,MultiPolygon,30,96,6,14.45%,
6.8899,28.65%,BX0503,Fordham Heights,"135,585.70",1378.09%,9,MultiPolygon,39,110,11,13.78%,
7.90384,34.94%,BX0601,West Farms,"628,197.20",1809.21%,1,MultiPolygon,10,55,1,18.09%,
